,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
1779,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1780,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1781,"[-11, 3, 7, -4, 10, -2, 4, 11, 8, -10, -8, -8, -12, 1]","[-6, -1, 4, -13, -2, -12, -2, -13, 0, -9, 7, -1, 0, 8]","[-7, 7, 11, 0, 14, 2, 8, 15, 12, -6, -4, -4, -8, 5]","[-2, 3, 8, -9, 2, -8, 2, -9, 4, -5, 11, 3, 4, 12]","[-11, 3, 7, -4, 10, -2, 4, 11, 8, -10, -8, -12, 1]","[-6, -1, 4, -13, -2, -12, -2, -13, 0, -9, 7, 0, 8]","[4, -11, 3, 7, -4, 10, -2, 4, 11, 8, -10, -8, -8, -12, 1]","[4, -6, -1, 4, -13, -2, -12, -2, -13, 0, -9, 7, -1, 0, 8]","[-11, 3, 7, -4, 10, -2, 4, 11, 8, -10, -8, -8, -12, 1, -0.09090909090909091, 0.3333333333333333, 0.14285714285714285, -0.25, 0.1, -0.5, 0.25, 0.09090909090909091, 0.125, -0.1, -0.125, -0.125, -0.08333333333333333, 1.0]","[-6, -1, 4, -13, -2, -12, -2, -13, 0, -9, 7, -1, 0, 8, -0.16666666666666666, -1.0, 0.25, -0.07692307692307693, -0.5, -0.08333333333333333, -0.5, -0.07692307692307693, 'ZeroDivisionError', -0.1111111111111111, 0.14285714285714285, -1.0, 'ZeroDivisionError', 0.125]","[-44, 12, 28, -16, 40, -8, 16, 44, 32, -40, -32, -32, -48, 4]","[-24, -4, 16, -52, -8, -48, -8, -52, 0, -36, 28, -4, 0, 32]","[-10, 8, 10, 1, 3, -2, -4, 7, 4, -8, -8, 11, -11, -12]","[-2, -6, -1, -13, -13, 4, -12, 0, 0, 8, 7, -1, -2, -9]",10.418729533280619,12.0018315018315,9.466124089189107,10.418729533280619,error,10.418729533280619,9.64095175550284,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
1782,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1783,"[-9, -2, 10]","[4, 4, 5]","[-5, 2, 14]","[8, 8, 9]","[-2, 10]","[4, 5]","[-9, -2, 10, 4]","[4, 4, 5, 4]","[-9, -2, 10, -0.1111111111111111, -0.5, 0.1]","[4, 4, 5, 0.25, 0.25, 0.2]","[-36, -8, 40]","[16, 16, 20]","[10, -2, -9]","[4, 5, 4]",2.3333333333333335,2.428571428571429,1.8173913043478263,2.3333333333333335,4.666666666666667,2.3333333333333335,1.3333333333333333,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
1784,"[2, -5, 10]","[6, -9, 0]","[6, -1, 14]","[10, -5, 4]","[2, 10]","[6, 0]","[4, 2, -5, 10]","[4, 6, -9, 0]","[2, -5, 10, 0.5, -0.2, 0.1]","[6, -9, 0, 0.16666666666666666, -0.1111111111111111, 'ZeroDivisionError']","[8, -20, 40]","[24, -36, 0]","[-5, 10, 2]","[-9, 6, 0]",1.7857142857142856,1.5357142857142856,1.4722222222222223,1.7857142857142856,error,1.7857142857142856,1.5,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
1785,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1786,"[-3, -3, -1, -2, 10, -6, 9]","[-1, 0, 2, 1, 8, 2, 7]","[1, 1, 3, 2, 14, -2, 13]","[3, 4, 6, 5, 12, 6, 11]","[-3, -1, -2, 10, -6, 9]","[0, 2, 1, 8, 2, 7]","[-3, 4, -3, -1, -2, 10, -6, 9]","[-1, 4, 0, 2, 1, 8, 2, 7]","[-3, -3, -1, -2, 10, -6, 9, -0.3333333333333333, -0.3333333333333333, -1.0, -0.5, 0.1, -0.16666666666666666, 0.1111111111111111]","[-1, 0, 2, 1, 8, 2, 7, -1.0, 'ZeroDivisionError', 0.5, 1.0, 0.125, 0.5, 0.14285714285714285]","[-12, -12, -4, -8, 40, -24, 36]","[-4, 0, 8, 4, 32, 8, 28]","[-3, 10, 9, -1, -2, -3, -6]","[-1, 7, 1, 8, 0, 2, 2]",4.736111111111111,5.476470588235294,3.0221611721611725,4.736111111111111,error,4.736111111111111,4.236111111111111,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
1787,"[12, -8, -6, 9, 13]","[11, 2, 12, -5, 12]","[16, -4, -2, 13, 17]","[15, 6, 16, -1, 16]","[-8, -6, 9, 13]","[2, 12, -5, 12]","[4, 12, -8, -6, 9, 13]","[4, 11, 2, 12, -5, 12]","[12, -8, -6, 9, 13, 0.08333333333333333, -0.125, -0.16666666666666666, 0.1111111111111111, 0.07692307692307693]","[11, 2, 12, -5, 12, 0.09090909090909091, 0.5, 0.08333333333333333, -0.2, 0.08333333333333333]","[48, -32, -24, 36, 52]","[44, 8, 48, -20, 48]","[12, -6, -8, 13, 9]","[12, 11, -5, 12, 2]",3.0834782608695654,1.9071328671328671,3.0625610948191593,3.0834782608695654,6.166956521739131,3.0834782608695654,3.04,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
1788,"[5, -4, -2, 6, 17, -5, -5]","[0, 0, 15, 18, 15, -6, 3]","[9, 0, 2, 10, 21, -1, -1]","[4, 4, 19, 22, 19, -2, 7]","[-4, -2, 6, 17, -5, -5]","[0, 15, 18, 15, -6, 3]","[5, -4, -2, 4, 6, 17, -5, -5]","[0, 0, 15, 4, 18, 15, -6, 3]","[5, -4, -2, 6, 17, -5, -5, 0.2, -0.25, -0.5, 0.16666666666666666, 0.058823529411764705, -0.2, -0.2]","[0, 0, 15, 18, 15, -6, 3, 'ZeroDivisionError', 'ZeroDivisionError', 0.06666666666666667, 0.05555555555555555, 0.06666666666666667, -0.16666666666666666, 0.3333333333333333]","[20, -16, -8, 24, 68, -20, -20]","[0, 0, 60, 72, 60, -24, 12]","[-4, -2, 6, -5, 17, 5, -5]","[15, 0, -6, 18, 15, 0, 3]",4.653409090909091,6.0625,3.9524725274725276,4.653409090909091,error,4.653409090909091,3.653409090909091,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
1789,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
1790,"[-8, 12, -13, -14, -7, -15, -12, 0, -9, -10, 12]","[2, -6, 1, -7, -5, 1, 4, -5, 11, 9, 3]","[-4, 16, -9, -10, -3, -11, -8, 4, -5, -6, 16]","[6, -2, 5, -3, -1, 5, 8, -1, 15, 13, 7]","[-8, 12, -13, -7, -15, -12, 0, -9, -10, 12]","[2, -6, 1, -5, 1, 4, -5, 11, 9, 3]","[4, -8, 12, -13, -14, -7, -15, -12, 0, -9, -10, 12]","[4, 2, -6, 1, -7, -5, 1, 4, -5, 11, 9, 3]","[-8, 12, -13, -14, -7, -15, -12, 0, -9, -10, 12, -0.125, 0.08333333333333333, -0.07692307692307693, -0.07142857142857142, -0.14285714285714285, -0.06666666666666667, -0.08333333333333333, 'ZeroDivisionError', -0.1111111111111111, -0.1, 0.08333333333333333]","[2, -6, 1, -7, -5, 1, 4, -5, 11, 9, 3, 0.5, -0.16666666666666666, 1.0, -0.14285714285714285, -0.2, 1.0, 0.25, -0.2, 0.09090909090909091, 0.1111111111111111, 0.3333333333333333]","[-32, 48, -52, -56, -28, -60, -48, 0, -36, -40, 48]","[8, -24, 4, -28, -20, 4, 16, -20, 44, 36, 12]","[12, -15, 0, -7, -13, -9, -10, -12, -8, -14, 12]","[9, 11, 1, -6, 4, 2, -5, 3, 1, -7, -5]",9.1,7.886446886446886,9.429765886287626,9.1,error,9.1,8.766666666666667,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
1791,"[-4, -16, -11, -8, -8, -7, -4]","[-16, -4, -7, 7, -8, -7, -13]","[0, -12, -7, -4, -4, -3, 0]","[-12, 0, -3, 11, -4, -3, -9]","[-4, -16, -8, -8, -7, -4]","[-16, -4, 7, -8, -7, -13]","[-4, -16, -11, -8, -8, 4, -7, -4]","[-16, -4, -7, 7, -8, 4, -7, -13]","[-4, -16, -11, -8, -8, -7, -4, -0.25, -0.0625, -0.09090909090909091, -0.125, -0.125, -0.14285714285714285, -0.25]","[-16, -4, -7, 7, -8, -7, -13, -0.0625, -0.25, -0.14285714285714285, 0.14285714285714285, -0.125, -0.14285714285714285, -0.07692307692307693]","[-16, -64, -44, -32, -32, -28, -16]","[-64, -16, -28, 28, -32, -28, -52]","[-7, -11, -8, -16, -4, -4, -8]","[-16, -7, -7, -4, -8, -13, 7]",2.9516339869281043,3.1429383347541915,4.4,2.9516339869281043,5.9032679738562095,2.9516339869281047,2.7294117647058824,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
1792,"[11, -1, -6, -5, 9, -2, 2, 12, -5]","[-6, 12, 13, 10, 0, -6, -2, 0, -5]","[15, 3, -2, -1, 13, 2, 6, 16, -1]","[-2, 16, 17, 14, 4, -2, 2, 4, -1]","[11, -1, -6, 9, -2, 2, 12, -5]","[-6, 12, 13, 0, -6, -2, 0, -5]","[11, 4, -1, -6, -5, 9, -2, 2, 12, -5]","[-6, 4, 12, 13, 10, 0, -6, -2, 0, -5]","[11, -1, -6, -5, 9, -2, 2, 12, -5, 0.09090909090909091, -1.0, -0.16666666666666666, -0.2, 0.1111111111111111, -0.5, 0.5, 0.08333333333333333, -0.2]","[-6, 12, 13, 10, 0, -6, -2, 0, -5, -0.16666666666666666, 0.08333333333333333, 0.07692307692307693, 0.1, 'ZeroDivisionError', -0.16666666666666666, -0.5, 'ZeroDivisionError', -0.2]","[44, -4, -24, -20, 36, -8, 8, 48, -20]","[-24, 48, 52, 40, 0, -24, -8, 0, -20]","[9, -5, 12, -1, -2, -6, 11, 2, -5]","[-5, 13, -6, 0, 10, -6, -2, 12, 0]",7.5,7.714285714285714,6.313622291021671,7.5,error,7.5,6.5,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
1793,"[1, -7, 7, 0, -7, -7]","[3, -7, 2, -1, -2, 1]","[5, -3, 11, 4, -3, -3]","[7, -3, 6, 3, 2, 5]","[1, -7, 0, -7, -7]","[3, -7, -1, -2, 1]","[1, -7, 4, 7, 0, -7, -7]","[3, -7, 4, 2, -1, -2, 1]","[1, -7, 7, 0, -7, -7, 1.0, -0.14285714285714285, 0.14285714285714285, 'ZeroDivisionError', -0.14285714285714285, -0.14285714285714285]","[3, -7, 2, -1, -2, 1, 0.3333333333333333, -0.14285714285714285, 0.5, -1.0, -0.5, 1.0]","[4, -28, 28, 0, -28, -28]","[12, -28, 8, -4, -8, 4]","[-7, -7, 1, 0, -7, 7]","[2, 1, -7, -2, -1, 3]",3.6111111111111107,5.15,2.603641456582633,3.6111111111111107,error,3.6111111111111107,3.0555555555555554,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
1794,"[-8, -4, -11, -14, -3, -1, -16]","[-7, 2, 4, -12, 8, 1, -9]","[-4, 0, -7, -10, 1, 3, -12]","[-3, 6, 8, -8, 12, 5, -5]","[-8, -4, -11, -14, -3, -1]","[-7, 2, 4, -12, 8, 1]","[4, -8, -4, -11, -14, -3, -1, -16]","[4, -7, 2, 4, -12, 8, 1, -9]","[-8, -4, -11, -14, -3, -1, -16, -0.125, -0.25, -0.09090909090909091, -0.07142857142857142, -0.3333333333333333, -1.0, -0.0625]","[-7, 2, 4, -12, 8, 1, -9, -0.14285714285714285, 0.5, 0.25, -0.08333333333333333, 0.125, 1.0, -0.1111111111111111]","[-32, -16, -44, -56, -12, -4, -64]","[-28, 8, 16, -48, 32, 4, -36]","[-1, -11, -16, -14, -4, -3, -8]","[2, -7, -9, 4, -12, 8, 1]",4.423589743589743,5.002222222222223,3.761886806004453,4.423589743589743,8.847179487179487,4.423589743589744,4.143589743589743,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
1795,"[-1, 16, 5, -1, 7, 9, 5, 2, 0, 6, 7, 1]","[5, -3, 9, 5, 3, 15, -7, 12, 0, 5, 17, -2]","[3, 20, 9, 3, 11, 13, 9, 6, 4, 10, 11, 5]","[9, 1, 13, 9, 7, 19, -3, 16, 4, 9, 21, 2]","[-1, 16, 5, 7, 9, 5, 2, 0, 6, 7, 1]","[5, -3, 9, 3, 15, -7, 12, 0, 5, 17, -2]","[-1, 4, 16, 5, -1, 7, 9, 5, 2, 0, 6, 7, 1]","[5, 4, -3, 9, 5, 3, 15, -7, 12, 0, 5, 17, -2]","[-1, 16, 5, -1, 7, 9, 5, 2, 0, 6, 7, 1, -1.0, 0.0625, 0.2, -1.0, 0.14285714285714285, 0.1111111111111111, 0.2, 0.5, 'ZeroDivisionError', 0.16666666666666666, 0.14285714285714285, 1.0]","[5, -3, 9, 5, 3, 15, -7, 12, 0, 5, 17, -2, 0.2, -0.3333333333333333, 0.1111111111111111, 0.2, 0.3333333333333333, 0.06666666666666667, -0.14285714285714285, 0.08333333333333333, 'ZeroDivisionError', 0.2, 0.058823529411764705, -0.5]","[-4, 64, 20, -4, 28, 36, 20, 8, 0, 24, 28, 4]","[20, -12, 36, 20, 12, 60, -28, 48, 0, 20, 68, -8]","[7, 7, -1, 2, 9, 1, 0, 5, 5, 6, -1, 16]","[5, -2, 15, -3, 5, 12, 3, 9, 0, 17, 5, -7]",,9.062509953814303,4.744550770866561,,error,,,Violate,Violate,error,Violate,Violate,1,1,error,1,1
1796,[-6],[3],[-2],[7],[],[],"[4, -6]","[4, 3]","[-6, -0.16666666666666666]","[3, 0.3333333333333333]",[-24],[12],[-6],[3],1.0,1.0,1.0,1.0,2.0,1.0,0.0,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
1797,"[4, -9, 4, -10, -11, -2, 1, 6]","[-10, -12, -5, 1, -3, -7, -12, 1]","[8, -5, 8, -6, -7, 2, 5, 10]","[-6, -8, -1, 5, 1, -3, -8, 5]","[4, -9, 4, -10, -2, 1, 6]","[-10, -12, -5, 1, -7, -12, 1]","[4, -9, 4, -10, -11, -2, 1, 4, 6]","[-10, -12, -5, 1, -3, -7, -12, 4, 1]","[4, -9, 4, -10, -11, -2, 1, 6, 0.25, -0.1111111111111111, 0.25, -0.1, -0.09090909090909091, -0.5, 1.0, 0.16666666666666666]","[-10, -12, -5, 1, -3, -7, -12, 1, -0.1, -0.08333333333333333, -0.2, 1.0, -0.3333333333333333, -0.14285714285714285, -0.08333333333333333, 1.0]","[16, -36, 16, -40, -44, -8, 4, 24]","[-40, -48, -20, 4, -12, -28, -48, 4]","[-10, -11, 1, 6, -9, 4, -2, 4]","[-7, -3, 1, -12, 1, -5, -10, -12]",5.984126984126984,5.4145658263305325,6.564102564102564,5.984126984126984,11.968253968253968,5.984126984126984,5.412698412698413,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
1798,"[11, -14]","[-4, -5]","[15, -10]","[0, -1]",[11],[-4],"[11, -14, 4]","[-4, -5, 4]","[11, -14, 0.09090909090909091, -0.07142857142857142]","[-4, -5, -0.25, -0.2]","[44, -56]","[-16, -20]","[-14, 11]","[-5, -4]",1.4736842105263157,1.4736842105263157,1.8181818181818183,1.4736842105263157,2.947368421052632,1.4736842105263157,1.0,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
1799,"[-6, -3, 5]","[-4, -5, -5]","[-2, 1, 9]","[0, -1, -1]","[-6, -3]","[-4, -5]","[-6, -3, 5, 4]","[-4, -5, -5, 4]","[-6, -3, 5, -0.16666666666666666, -0.3333333333333333, 0.2]","[-4, -5, -5, -0.25, -0.2, -0.2]","[-24, -12, 20]","[-16, -20, -20]","[-6, -3, 5]","[-5, -4, -5]",1.45,1.2337662337662338,3.0,1.45,2.9,1.45,0.45,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
1800,"[0, -7]","[-3, 0]","[4, -3]","[1, 4]",[0],[-3],"[0, 4, -7]","[-3, 4, 0]","[0, -7, 'ZeroDivisionError', -0.14285714285714285]","[-3, 0, -0.3333333333333333, 'ZeroDivisionError']","[0, -28]","[-12, 0]","[-7, 0]","[-3, 0]",2.0,,1.6,2.0,error,2.0,1.0,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
1801,"[2, -6, 8, 8, -3, 9, 6, 6, -5]","[0, -4, 9, 5, -3, -5, 3, 9, 1]","[6, -2, 12, 12, 1, 13, 10, 10, -1]","[4, 0, 13, 9, 1, -1, 7, 13, 5]","[2, -6, 8, -3, 9, 6, 6, -5]","[0, -4, 5, -3, -5, 3, 9, 1]","[2, -6, 8, 8, -3, 4, 9, 6, 6, -5]","[0, -4, 9, 5, -3, 4, -5, 3, 9, 1]","[2, -6, 8, 8, -3, 9, 6, 6, -5, 0.5, -0.16666666666666666, 0.125, 0.125, -0.3333333333333333, 0.1111111111111111, 0.16666666666666666, 0.16666666666666666, -0.2]","[0, -4, 9, 5, -3, -5, 3, 9, 1, 'ZeroDivisionError', -0.25, 0.1111111111111111, 0.2, -0.3333333333333333, -0.2, 0.3333333333333333, 0.1111111111111111, 1.0]","[8, -24, 32, 32, -12, 36, 24, 24, -20]","[0, -16, 36, 20, -12, -20, 12, 36, 4]","[2, -3, 6, 9, 8, 8, -6, -5, 6]","[-5, 9, 3, -4, 0, 1, 5, -3, 9]",4.022926093514329,6.561111111111111,3.6897625137011323,4.022926093514329,error,4.022926093514329,3.9641025641025642,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
1802,"[4, 11, 12, 10, 10, 4, 4, 6, 0, 0, 9, 8, -6, 6]","[-3, 9, -1, 6, -1, 9, -6, 1, 2, -5, -3, 13, 8, 10]","[8, 15, 16, 14, 14, 8, 8, 10, 4, 4, 13, 12, -2, 10]","[1, 13, 3, 10, 3, 13, -2, 5, 6, -1, 1, 17, 12, 14]","[4, 11, 12, 10, 10, 4, 6, 0, 0, 9, 8, -6, 6]","[-3, 9, -1, 6, -1, -6, 1, 2, -5, -3, 13, 8, 10]","[4, 11, 12, 10, 10, 4, 4, 6, 0, 0, 9, 4, 8, -6, 6]","[-3, 9, -1, 6, -1, 9, -6, 1, 2, -5, -3, 4, 13, 8, 10]","[4, 11, 12, 10, 10, 4, 4, 6, 0, 0, 9, 8, -6, 6, 0.25, 0.09090909090909091, 0.08333333333333333, 0.1, 0.1, 0.25, 0.25, 0.16666666666666666, 'ZeroDivisionError', 'ZeroDivisionError', 0.1111111111111111, 0.125, -0.16666666666666666, 0.16666666666666666]","[-3, 9, -1, 6, -1, 9, -6, 1, 2, -5, -3, 13, 8, 10, -0.3333333333333333, 0.1111111111111111, -1.0, 0.16666666666666666, -1.0, 0.1111111111111111, -0.16666666666666666, 1.0, 0.5, -0.2, -0.3333333333333333, 0.07692307692307693, 0.125, 0.1]","[16, 44, 48, 40, 40, 16, 16, 24, 0, 0, 36, 32, -24, 24]","[-12, 36, -4, 24, -4, 36, -24, 4, 8, -20, -12, 52, 32, 40]","[10, 0, -6, 0, 4, 8, 10, 6, 4, 11, 4, 9, 12, 6]","[9, 9, -1, -3, -3, 6, -6, 10, 2, -5, 13, 8, 1, -1]",9.936996336996337,8.927496909695051,7.314794254059761,9.936996336996337,error,9.936996336996337,9.552380952380952,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
1803,"[7, -14, 14, -8, 15, -9, -6, 1, -5, -16]","[13, 11, 4, -2, -5, -2, 6, 4, 14, -10]","[11, -10, 18, -4, 19, -5, -2, 5, -1, -12]","[17, 15, 8, 2, -1, 2, 10, 8, 18, -6]","[7, -14, 14, 15, -9, -6, 1, -5, -16]","[13, 11, 4, -5, -2, 6, 4, 14, -10]","[7, 4, -14, 14, -8, 15, -9, -6, 1, -5, -16]","[13, 4, 11, 4, -2, -5, -2, 6, 4, 14, -10]","[7, -14, 14, -8, 15, -9, -6, 1, -5, -16, 0.14285714285714285, -0.07142857142857142, 0.07142857142857142, -0.125, 0.06666666666666667, -0.1111111111111111, -0.16666666666666666, 1.0, -0.2, -0.0625]","[13, 11, 4, -2, -5, -2, 6, 4, 14, -10, 0.07692307692307693, 0.09090909090909091, 0.25, -0.5, -0.2, -0.5, 0.16666666666666666, 0.25, 0.07142857142857142, -0.1]","[28, -56, 56, -32, 60, -36, -24, 4, -20, -64]","[52, 44, 16, -8, -20, -8, 24, 16, 56, -40]","[-9, -16, 14, 15, -5, -6, -14, 7, -8, 1]","[14, 13, -10, -2, 4, 6, 4, -5, -2, 11]",6.922688422688423,9.433333333333334,7.163003663003662,6.922688422688423,13.845376845376844,6.922688422688423,6.322688422688423,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
1804,"[9, 1, 3, 4, -15, 3, -7, -11, 5, -4, -9, 12, 12, -2]","[10, -4, 7, -10, 5, -15, 12, -3, 3, -6, -9, 3, -14, -15]","[13, 5, 7, 8, -11, 7, -3, -7, 9, 0, -5, 16, 16, 2]","[14, 0, 11, -6, 9, -11, 16, 1, 7, -2, -5, 7, -10, -11]","[9, 1, 3, 4, -15, 3, -7, -11, 5, -4, -9, 12, 12]","[10, -4, 7, -10, 5, -15, 12, -3, 3, -6, -9, 3, -14]","[9, 1, 3, 4, -15, 3, -7, -11, 5, 4, -4, -9, 12, 12, -2]","[10, -4, 7, -10, 5, -15, 12, -3, 3, 4, -6, -9, 3, -14, -15]","[9, 1, 3, 4, -15, 3, -7, -11, 5, -4, -9, 12, 12, -2, 0.1111111111111111, 1.0, 0.3333333333333333, 0.25, -0.06666666666666667, 0.3333333333333333, -0.14285714285714285, -0.09090909090909091, 0.2, -0.25, -0.1111111111111111, 0.08333333333333333, 0.08333333333333333, -0.5]","[10, -4, 7, -10, 5, -15, 12, -3, 3, -6, -9, 3, -14, -15, 0.1, -0.25, 0.14285714285714285, -0.1, 0.2, -0.06666666666666667, 0.08333333333333333, -0.3333333333333333, 0.3333333333333333, -0.16666666666666666, -0.1111111111111111, 0.3333333333333333, -0.07142857142857142, -0.06666666666666667]","[36, 4, 12, 16, -60, 12, -28, -44, 20, -16, -36, 48, 48, -8]","[40, -16, 28, -40, 20, -60, 48, -12, 12, -24, -36, 12, -56, -60]","[-4, -15, 12, 4, 3, 5, 3, -9, 12, -7, -11, 9, -2, 1]","[-9, 5, 7, 3, -15, -4, 3, -14, -3, -15, 12, 10, -6, -10]",8.83876603272888,7.9242896691409275,9.775563607085346,8.83876603272888,17.67753206545776,8.83876603272888,8.074060150375939,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
1805,"[2, -1, -2, -2, -2, -2, 1, -6, 6, -5]","[5, -1, 0, 1, 3, -8, -10, -7, -6, -9]","[6, 3, 2, 2, 2, 2, 5, -2, 10, -1]","[9, 3, 4, 5, 7, -4, -6, -3, -2, -5]","[2, -2, -2, -2, -2, 1, -6, 6, -5]","[5, 0, 1, 3, -8, -10, -7, -6, -9]","[2, -1, -2, -2, -2, -2, 1, 4, -6, 6, -5]","[5, -1, 0, 1, 3, -8, -10, 4, -7, -6, -9]","[2, -1, -2, -2, -2, -2, 1, -6, 6, -5, 0.5, -1.0, -0.5, -0.5, -0.5, -0.5, 1.0, -0.16666666666666666, 0.16666666666666666, -0.2]","[5, -1, 0, 1, 3, -8, -10, -7, -6, -9, 0.2, -1.0, 'ZeroDivisionError', 1.0, 0.3333333333333333, -0.125, -0.1, -0.14285714285714285, -0.16666666666666666, -0.1111111111111111]","[8, -4, -8, -8, -8, -8, 4, -24, 24, -20]","[20, -4, 0, 4, 12, -32, -40, -28, -24, -36]","[1, -5, 2, -2, -2, -1, -6, -2, -2, 6]","[-9, -6, -10, -1, 3, 0, -7, 5, 1, -8]",6.391208791208791,7.5011655011655005,5.3841269841269845,6.391208791208791,error,6.391208791208791,6.391208791208792,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
1806,"[-15, -17, 6, -17, -13, -1, -3, -3, -10, -8, -3, -11, -17]","[-12, -1, -4, -5, -17, -2, -17, -5, -14, 1, -2, -16, -10]","[-11, -13, 10, -13, -9, 3, 1, 1, -6, -4, 1, -7, -13]","[-8, 3, 0, -1, -13, 2, -13, -1, -10, 5, 2, -12, -6]","[-15, -17, 6, -17, -13, -1, -3, -3, -8, -3, -11, -17]","[-12, -1, -4, -5, -17, -2, -17, -5, 1, -2, -16, -10]","[-15, -17, 6, -17, -13, -1, -3, -3, -10, -8, -3, 4, -11, -17]","[-12, -1, -4, -5, -17, -2, -17, -5, -14, 1, -2, 4, -16, -10]","[-15, -17, 6, -17, -13, -1, -3, -3, -10, -8, -3, -11, -17, -0.06666666666666667, -0.058823529411764705, 0.16666666666666666, -0.058823529411764705, -0.07692307692307693, -1.0, -0.3333333333333333, -0.3333333333333333, -0.1, -0.125, -0.3333333333333333, -0.09090909090909091, -0.058823529411764705]","[-12, -1, -4, -5, -17, -2, -17, -5, -14, 1, -2, -16, -10, -0.08333333333333333, -1.0, -0.25, -0.2, -0.058823529411764705, -0.5, -0.058823529411764705, -0.2, -0.07142857142857142, 1.0, -0.5, -0.0625, -0.1]","[-60, -68, 24, -68, -52, -4, -12, -12, -40, -32, -12, -44, -68]","[-48, -4, -16, -20, -68, -8, -68, -20, -56, 4, -8, -64, -40]","[-11, -8, -13, -17, -1, -15, -3, -3, -17, -10, 6, -17, -3]","[-2, -2, -5, 1, -4, -12, -10, -17, -5, -16, -14, -17, -1]",5.773232323232324,6.962548562548563,7.611768056504899,5.773232323232324,11.546464646464646,5.773232323232324,5.606565656565657,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
1807,"[-1, -14, 10, -6, -13, 6, 8]","[7, 9, 2, -10, -10, 7, -2]","[3, -10, 14, -2, -9, 10, 12]","[11, 13, 6, -6, -6, 11, 2]","[-1, -14, -6, -13, 6, 8]","[7, 9, -10, -10, 7, -2]","[4, -1, -14, 10, -6, -13, 6, 8]","[4, 7, 9, 2, -10, -10, 7, -2]","[-1, -14, 10, -6, -13, 6, 8, -1.0, -0.07142857142857142, 0.1, -0.16666666666666666, -0.07692307692307693, 0.16666666666666666, 0.125]","[7, 9, 2, -10, -10, 7, -2, 0.14285714285714285, 0.1111111111111111, 0.5, -0.1, -0.1, 0.14285714285714285, -0.5]","[-4, -56, 40, -24, -52, 24, 32]","[28, 36, 8, -40, -40, 28, -8]","[6, 8, -1, -13, 10, -6, -14]","[-2, 7, -10, 9, -10, 2, 7]",4.12402452619844,5.884848484848485,3.4333333333333336,4.12402452619844,8.248049052396878,4.124024526198439,3.457357859531773,Violate,No-violate,Violate,No-violate,No-violate,1,0,1,0,0
